SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
12509,meter tested as per all safety normsmeter accuracy found within limit at the time of testingzone paper seal pasted on meter box,,,meter test safety normsmeter accuracy limit time testingzone paper seal past meter box
12510,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12513,meter tested as per safety norms,,,meter test safety norm
12514,meter tested as per safety norms,,,meter test safety norm
12515,meter tested as per safety norms,,,meter test safety norm
12516,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12517,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12518,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12519,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12522,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12524,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12525,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12526,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12527,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12528,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12529,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12530,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12531,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12532,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12534,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12535,meter tested as per all safety normsmeter accuracy found within limit at the time of testing zone paper seal pasted on meter box,,,meter test safety normsmeter accuracy limit time test zone paper seal past meter box
12536,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12537,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
